City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
4,Zhanaozen,KZ,80.56,overcast clouds,43.3,52.8,K.korabay 28A
6,San Cristobal,VE,87.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
9,Ciudad Bolivar,VE,82.22,few clouds,8.1222,-63.5497,Hotel Edi
11,Saint-Pierre,RE,75.2,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
12,Rikitea,PF,77.47,few clouds,-23.1203,-134.9692,Pension Maro'i
18,Lorengau,PG,81.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
20,Matara,LK,81.63,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
27,Black River,JM,79.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
28,Inhambane,MZ,77.0,broken clouds,-23.865,35.3833,Oceano
32,Lamu,KE,84.02,overcast clouds,-2.2717,40.902,Lamu House
33,Lhokseumawe,ID,81.09,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
35,Bandarbeyla,SO,84.31,overcast clouds,9.4942,50.8122,JABIR HOTEL
38,Los Llanos De Aridane,ES,75.2,scattered clouds,28.6585,-17.9182,Valle Aridane
39,Bria,CF,78.64,moderate rain,6.5423,21.9863,
40,Cape Town,ZA,80.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
46,Piacabucu,BR,83.39,broken clouds,-10.4056,-36.4344,Piaçabuçu News
48,Madinat Sittah Uktubar,EG,84.2,clear sky,29.8167,31.05,Happy Kennel Academy
51,Katherine,AU,77.0,overcast clouds,-14.4667,132.2667,Pine Tree Motel
52,Dingle,PH,78.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
59,Padang,ID,80.6,scattered clouds,-0.9492,100.3543,Mercure Padang
61,Bubaque,GW,79.95,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
63,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
65,Moshi,TZ,78.8,light rain,-3.35,37.3333,Osy Grand Hotel
71,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
75,Tautira,PF,78.01,light rain,-17.7333,-149.15,Pension Oaoa
76,Tura,IN,78.06,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
81,Bambous Virieux,MU,82.4,light rain,-20.3428,57.7575,Casa Tia Villa
83,Bengkulu,ID,79.16,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
96,Bambanglipuro,ID,77.5,clear sky,-7.95,110.2833,Puri Brata
97,Hermanus,ZA,80.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
99,Kalmunai,LK,82.85,few clouds,7.4167,81.8167,VS Villa
102,Hambantota,LK,86.0,few clouds,6.1241,81.1185,Bungalow 63
104,Porbandar,IN,84.16,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
106,Atuona,PF,79.48,light rain,-9.8,-139.0333,Villa Enata
107,Georgetown,MY,84.99,few clouds,5.4112,100.3354,Cititel Penang
119,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
120,Mbour,SN,84.2,clear sky,14.422,-16.9638,Tama Lodge
122,Faanui,PF,81.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
125,Barra Dos Coqueiros,BR,84.2,broken clouds,-10.9089,-37.0386,Jangadeiro
127,Pandan,PH,77.04,moderate rain,14.0453,124.1694,Bonifacio Lodge
133,Puerto Ayora,EC,75.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Pangkalanbuun,ID,77.04,clear sky,-2.6833,111.6167,Grand Kecubung Hotel
141,Issenye,TZ,78.69,overcast clouds,-2.0,34.3333,
144,Omboue,GA,86.88,overcast clouds,-1.5746,9.2618,Hotel Olako
