City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial Do Cabo,-22.9661,-42.0278,scattered clouds,77.0,73,40,28.77,BR,2021-04-20 13:14:27
1,Ordzhonikidze,52.4411,61.7408,clear sky,42.19,30,0,9.22,KZ,2021-04-20 13:14:27
2,Kapaa,22.0752,-159.319,clear sky,69.8,94,1,5.75,US,2021-04-20 13:14:28
3,Punta Arenas,-53.15,-70.9167,few clouds,42.8,75,20,13.8,CL,2021-04-20 13:14:28
4,Zhanaozen,43.3,52.8,overcast clouds,80.56,21,100,10.76,KZ,2021-04-20 13:14:28
5,Vaini,-21.2,-175.2,scattered clouds,73.4,88,40,3.44,TO,2021-04-20 13:14:29
6,San Cristobal,7.7669,-72.225,few clouds,87.8,33,20,23.02,VE,2021-04-20 13:14:29
7,Fortuna,40.5982,-124.1573,overcast clouds,50.0,100,90,14.97,US,2021-04-20 13:12:51
8,Santa Comba,43.0331,-8.8093,scattered clouds,61.0,63,39,8.99,ES,2021-04-20 13:14:29
9,Ciudad Bolivar,8.1222,-63.5497,few clouds,82.22,56,17,13.47,VE,2021-04-20 13:14:29
10,Filadelfia,39.9523,-75.1638,broken clouds,60.01,71,75,9.22,US,2021-04-20 13:14:30
11,Saint-Pierre,-21.3393,55.4781,heavy intensity rain,75.2,94,75,11.5,RE,2021-04-20 13:14:30
12,Rikitea,-23.1203,-134.9692,few clouds,77.47,67,21,7.16,PF,2021-04-20 13:14:30
13,Port Alfred,-33.5906,26.891,overcast clouds,71.64,67,99,23.78,ZA,2021-04-20 13:14:31
14,Ribeira Grande,38.5167,-28.7,scattered clouds,66.2,88,40,18.41,PT,2021-04-20 13:14:31
15,Plavinas,56.6178,25.7255,overcast clouds,55.09,40,100,5.44,LV,2021-04-20 13:14:31
16,Ushuaia,-54.8,-68.3,broken clouds,42.8,81,75,20.71,AR,2021-04-20 13:14:31
17,Byron Bay,-28.65,153.6167,clear sky,61.0,88,0,8.16,AU,2021-04-20 13:14:32
18,Lorengau,-2.0226,147.2712,overcast clouds,81.27,78,100,8.46,PG,2021-04-20 13:14:32
19,Carnarvon,-24.8667,113.6333,clear sky,73.4,73,0,14.97,AU,2021-04-20 13:11:06
20,Matara,5.9485,80.5353,scattered clouds,81.63,78,37,10.38,LK,2021-04-20 13:14:32
21,Qaanaaq,77.484,-69.3632,clear sky,-0.69,70,8,7.25,GL,2021-04-20 13:14:33
22,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,24.08,88,100,21.9,CA,2021-04-20 13:14:33
23,Mataura,-46.1927,168.8643,few clouds,51.01,80,22,3.0,NZ,2021-04-20 13:14:33
24,Berdigestyakh,62.0989,126.6992,overcast clouds,7.32,95,100,2.86,RU,2021-04-20 13:14:33
25,Busselton,-33.65,115.3333,clear sky,55.0,87,8,12.26,AU,2021-04-20 13:14:34
26,General Roca,-39.0333,-67.5833,overcast clouds,69.01,74,98,11.72,AR,2021-04-20 13:14:34
27,Black River,18.0264,-77.8487,few clouds,79.0,69,20,4.61,JM,2021-04-20 13:14:34
28,Inhambane,-23.865,35.3833,broken clouds,77.0,73,75,8.05,MZ,2021-04-20 13:14:35
29,Cherskiy,68.75,161.3,broken clouds,29.1,72,65,14.27,RU,2021-04-20 13:14:35
30,Ayan,56.45,138.1667,overcast clouds,29.95,77,100,9.17,RU,2021-04-20 13:14:35
31,Kluczbork,50.9728,18.2182,light rain,62.01,74,100,5.99,PL,2021-04-20 13:14:36
32,Lamu,-2.2717,40.902,overcast clouds,84.02,72,97,16.89,KE,2021-04-20 13:14:36
33,Lhokseumawe,5.1801,97.1507,overcast clouds,81.09,79,99,4.5,ID,2021-04-20 13:14:36
34,Chicama,-7.8447,-79.1469,mist,64.4,94,20,5.75,PE,2021-04-20 13:14:36
35,Bandarbeyla,9.4942,50.8122,overcast clouds,84.31,72,100,12.26,SO,2021-04-20 13:14:37
36,Marienburg,54.0359,19.0266,scattered clouds,62.01,58,25,7.65,PL,2021-04-20 13:14:37
37,Altamont,42.2068,-121.7372,broken clouds,45.0,57,75,3.44,US,2021-04-20 13:14:37
38,Los Llanos De Aridane,28.6585,-17.9182,scattered clouds,75.2,60,40,13.8,ES,2021-04-20 13:14:38
39,Bria,6.5423,21.9863,moderate rain,78.64,73,96,6.93,CF,2021-04-20 13:14:38
40,Cape Town,-33.9258,18.4232,clear sky,80.01,46,0,10.36,ZA,2021-04-20 13:11:02
41,Tasiilaq,65.6145,-37.6368,broken clouds,30.2,69,75,3.44,GL,2021-04-20 13:14:38
42,Ullapool,57.8987,-5.1604,overcast clouds,46.0,69,100,5.99,GB,2021-04-20 13:14:39
43,Ponta Do Sol,32.6667,-17.1,few clouds,68.0,66,19,8.99,PT,2021-04-20 13:14:39
44,Andenes,69.3143,16.1194,clear sky,53.6,50,0,16.11,NO,2021-04-20 13:14:39
45,Bredasdorp,-34.5322,20.0403,clear sky,68.0,60,0,17.27,ZA,2021-04-20 13:14:40
46,Piacabucu,-10.4056,-36.4344,broken clouds,83.39,69,73,7.45,BR,2021-04-20 13:14:40
47,Husavik,66.0449,-17.3389,few clouds,39.2,45,20,10.36,IS,2021-04-20 13:14:40
48,Madinat Sittah Uktubar,29.8167,31.05,clear sky,84.2,30,0,18.41,EG,2021-04-20 13:14:40
49,Saskylakh,71.9167,114.0833,scattered clouds,-10.7,100,25,0.92,RU,2021-04-20 13:14:41
